GID;FROM;TO;EROSIORATE(cm/y);Periode
280;5103;5823;2.90;1999-2019
280;5823;6147;-4.62;1999-2019
280;6147;6195;NON;1991-2010
280;6195;6240;-2.55;1991-2010
280;6240;7270;2.50;1991-2010
280;7270;7561;0.60;1991-2010
281;0;569;2.40;1991-2010
281;569;1216;0.75;1991-2010
281;1216;1594;0.75;1991-2010
281;1594;1681;-3.75;1991-2010
281;1681;2081;1.00;1991-2010
281;2081;2769;2.40;1991-2010
281;2769;3771;2.17;1991-2010
281;3771;4599;1.10;1991-2010
281;4599;5350;1.21;1991-2010
281;5350;6169;0.37;1991-2010
281;6169;7049;2.16;1991-2010
281;7049;8014;1.18;1991-2010
281;8014;8307;0.25;1991-2010
281;8307;8329;NON;1991-2010
281;8329;8414;NON;1991-2010
281;8414;8514;NON;1991-2010
281;8514;9724;-0.33;1991-2010
281;9724;10114;-0.63;1991-2010
281;10114;10514;2.53;1991-2010
281;10514;11914;0.62;1991-2010
281;11914;13160;1.76;1991-2010
281;13160;1354;	1.44;1991-2010
282;0;2154;-1.58;1991-2010
282;2154;3099;1.98;2000-2010
282;3099;3509;-2.48;2000-2010
282;3509;4854;-0.91;2000-2010
282;4854;6244;0.71;2000-2010
282;6244;6544;-1.73;2000-2010
282;6544;20188;NON;NON
4;0;1225;0.2;1995 – 2005; 
4;1225;1266;-0.7;1995 – 2005;
4;1266;1359;-5.9;1995 – 2005;
398;0;41;-1.4;1995 – 2005; 
398;41;241;0.3;1995 – 2005;
398;241;281;1.9;1995 – 2005;
398;281;306;2.51995 – 2005;
398;306;329;1.1;1995 – 2005;
398;329;372;1.3;1995 – 2005;
398;372;441;4.5;1995 – 2005;
398;441;641;0;1995 – 2005;
398;641;841;0.9;1995 – 2005;
398;841;993;0;1995 – 2005;
399;0;48;1.1;1995 – 2005;
399;48;123;-0.4;1995 – 2005;
399;123;131;1.5;1995 – 2005;
399;131;156;-1.8;1995 – 2005;
399;156;181;1.2;1995 – 2005;
399;181;211;0;1995 – 2005;
399;211;219;-0.4;1995 – 2005;
399;219;248;0.3;1995 – 2005;
399;248;448;0.9;1995 – 2005;
399;448;469;0.2;1995 – 2005;
399;469;648;3;1995 – 2005;
399;648;918;2.3;1995 – 2005;
399;918;968;-0.9;1995 – 2005;
399;968;1048;1.2;1995 – 2005;
399;1048;1248;0.7;1995 – 2005;
399;1248;1448;0.4;1995 – 2005;
399;1448;1648;2.2;1995 – 2005;
399;1648;1791;1.8;1995 – 2005;
399;1791;1848;2.9;1995 – 2005;
399;1848;1923;2.6;1995 – 2005;
399;1923;2048 2.5;1995 – 2005;
399;2048;2248;5.5;1995 – 2005;
399;2248;2339;4.2;1995 – 2005;
224;0;44;4.4;1995 – 2005;
224;44;109;4.5;1995 – 2005;
224;109;309;5.2;1995 – 2005;
224;309;509;4;1995 – 2005;
224;509;709;0.9;1995 – 2005;
224;709;909;3.2;1995 – 2005;
224;909;1109;1.1;1995 – 2005;
224;1109;1309;2.6;1995 – 2005;
224;1309;1509;1.2;1995 – 2005;
224;1509;1709;2.8;1995 – 2005;
224;1709;1732;3.1;1995 – 2005;
224;1732;1782;-0.9;1995 – 2005;
224;1782;1909;3.2;1995 – 2005;
224;1909;2109;2.7;1995 – 2005;
224;2109;2309;2.1;1995 – 2005;
224;2309;2509;2.4;1995 – 2005;
224;2509;2709;1.8;1995 – 2005;
224;2709;2909;2.3;1995 – 2005;
224;2909;3109;3.5;1995 – 2005;
224;3109;3309;-0.7;1995 – 2005;
224;3309;3509;-1;1995 – 2005;
224;3509;3709;3.9;1995 – 2005;
224;3709;3909;3.2;1995 – 2005;
224;3909;4109;3.5;1995 – 2005;
224;4109;4309;2.8;1995 – 2005;
224;4309;4509;2.5;1995 – 2005;
224;4509;4604;2.1;1995 – 2005;
224;4604;4709;3.7;1995 – 2005;
224;4709;4909;2.5;1995 – 2005;
224;4909;5109;1.9;1995 – 2005;
224;5109;5309;0.8;1995 – 2005;
224;5309;5509;1.4;1995 – 2005;
224;5509;5709;1.9;1995 – 2005;
224;5709;5909;2;1995 – 2005;
224;5909;6109;1.3;1995 – 2005;
224;6109;6309;2.3;1995 – 2005;
224;6309;6470;0;1995 – 2005;
223;0;39;0.9;1995 – 2005;
223;39;239;1.32;1995 – 2005;
223;239;439;0.8;1995 – 2005;
223;439;639;0.3;1995 – 2005;
223;639;839;0.2;1995 – 2005;
223;839;1039;0.3;1995 – 2005;
223;1039;1239;0.4;1995 – 2005;
223;1239;1439;0.8;1995 – 2005;
223;1439;1639;1.5;1995 – 2005;
223;1639;1839;1.8;1995 – 2005;
223;1839;2039;2.2;1995 – 2005;
223;2039;2239;1.9;1995 – 2005;
223;2239;2439;0.4;1995 – 2005;
223;2439;2639;1.9;1995 – 2005;
223;2639;2839;1.5;1995 – 2005;
223;2839;3039;-0.9;1995 – 2005;
223;3039;3239;0.2;1995 – 2005;
223;3239;3439;0.1;1995 – 2005;
223;3439;3639;-0.5;1995 – 2005;
223;3639;3839;0.4;1995 – 2005;
223;3839;4039;-0.6;1995 – 2005;
223;4039;4074;0.8;1995 – 2005;
223;4074;4239;0.6;1995 – 2005;
223;4239;4439;0.9;1995 – 2005;
223;4439;4639;2.6;1995 – 2005;
223;4639;4839;-0.1;1995 – 2005;
223;4839;5039;0.9;1995 – 2005;
223;5039;5239;1;1995 – 2005;
223;5239;5439;2;1995 – 2005;
223;5439;5639;1.5;1995 – 2005;
223;5639;5839;0.7;1995 – 2005;
223;5839;6039;1.3;1995 – 2005;
223;6039;6239;3.4;1995 – 2005;
223;6239;6439;0.7;1995 – 2005;
223;6439;6639;2.3;1995 – 2005;
223;6639;6699;1.8;1995 – 2005;
223;6699;6749;1.3;1995 – 2005;
223;6749;7039;1.4;1995 – 2005;
223;7039;7239;-1.4;1995 – 2005;
223;7239;7439;0.1;1995 – 2005;
223;7439;7639;0.3;1995 – 2005;
223;7639;7839;0.9;1995 – 2005;
223;7839;8039;0.1;1995 – 2005;
223;8039;8239;-0.5;1995 – 2005;
223;8239;8639;-0.9;1995 – 2005;
223;8639;8839;-3.4;1995 – 2005;
223;8839;9039;-2;1995 – 2005;
223;9039;9239;-2.7;1995 – 2005;
223;9239;9439;0.1;1995 – 2005;
223;9439;9639;1.9;1995 – 2005;
223;9639;9839;-0.5;1995 – 2005;
223;9839;10039;0.6;1995 – 2005;
